[INFO ] 2016-11-08 17:33:45.695 [pool-2-thread-172] ReadWorker - c2r40 started.
[INFO ] 2016-11-08 17:33:45.697 [pool-2-thread-173] ReadWorker - c2r41 started.
[INFO ] 2016-11-08 17:33:45.697 [pool-2-thread-174] ReadWorker - c2r42 started.
[INFO ] 2016-11-08 17:33:45.698 [pool-2-thread-175] ReadWorker - c2r43 started.
[INFO ] 2016-11-08 17:33:45.699 [pool-2-thread-177] ReadWorker - c2r45 started.
[INFO ] 2016-11-08 17:33:45.700 [pool-2-thread-178] ReadWorker - c2r46 started.
[INFO ] 2016-11-08 17:33:45.700 [pool-2-thread-179] ReadWorker - c2r47 started.
[INFO ] 2016-11-08 17:33:45.701 [pool-2-thread-180] ReadWorker - c2r48 started.
[INFO ] 2016-11-08 17:33:45.702 [pool-2-thread-181] ReadWorker - c2r49 started.
[INFO ] 2016-11-08 17:33:45.698 [pool-2-thread-176] ReadWorker - c2r44 started.
[INFO ] 2016-11-08 17:33:45.710 [pool-2-thread-182] ReadWorker - c2r50 started.
[INFO ] 2016-11-08 17:33:45.711 [pool-2-thread-183] ReadWorker - c2r51 started.
[INFO ] 2016-11-08 17:33:45.712 [pool-2-thread-184] ReadWorker - c2r52 started.
[INFO ] 2016-11-08 17:33:45.714 [pool-2-thread-186] ReadWorker - c2r54 started.
[INFO ] 2016-11-08 17:33:45.715 [pool-2-thread-187] ReadWorker - c2r55 started.
[INFO ] 2016-11-08 17:33:45.715 [pool-2-thread-188] ReadWorker - c2r56 started.
[INFO ] 2016-11-08 17:33:45.716 [pool-2-thread-189] ReadWorker - c2r57 started.
[INFO ] 2016-11-08 17:33:45.717 [pool-2-thread-190] ReadWorker - c2r58 started.
[INFO ] 2016-11-08 17:33:45.717 [pool-2-thread-191] ReadWorker - c2r59 started.
[INFO ] 2016-11-08 17:33:45.713 [pool-2-thread-185] ReadWorker - c2r53 started.
[INFO ] 2016-11-08 17:33:45.726 [pool-2-thread-192] ReadWorker - c2r60 started.
[INFO ] 2016-11-08 17:33:45.727 [pool-2-thread-193] ReadWorker - c2r61 started.
[INFO ] 2016-11-08 17:33:45.728 [pool-2-thread-194] ReadWorker - c2r62 started.
[INFO ] 2016-11-08 17:33:45.729 [main] MiddlewareComponent - MiddlewareComponent #2 initialised.
[INFO ] 2016-11-08 17:33:45.729 [pool-2-thread-195] ReadWorker - c2r63 started.
[INFO ] 2016-11-08 17:33:45.731 [main] WriteWorker - c3w0 connected to server /10.0.0.8:11211.
[INFO ] 2016-11-08 17:33:45.733 [pool-2-thread-196] WriteWorker - c3w0 started; writing to machines: [3].
[INFO ] 2016-11-08 17:33:45.734 [pool-2-thread-197] ReadWorker - c3r0 started.
[INFO ] 2016-11-08 17:33:45.734 [pool-2-thread-198] ReadWorker - c3r1 started.
[INFO ] 2016-11-08 17:33:45.735 [pool-2-thread-199] ReadWorker - c3r2 started.
[INFO ] 2016-11-08 17:33:45.736 [pool-2-thread-200] ReadWorker - c3r3 started.
[INFO ] 2016-11-08 17:33:45.737 [pool-2-thread-202] ReadWorker - c3r5 started.
[INFO ] 2016-11-08 17:33:45.738 [pool-2-thread-203] ReadWorker - c3r6 started.
[INFO ] 2016-11-08 17:33:45.739 [pool-2-thread-204] ReadWorker - c3r7 started.
[INFO ] 2016-11-08 17:33:45.739 [pool-2-thread-205] ReadWorker - c3r8 started.
[INFO ] 2016-11-08 17:33:45.740 [pool-2-thread-206] ReadWorker - c3r9 started.
[INFO ] 2016-11-08 17:33:45.737 [pool-2-thread-201] ReadWorker - c3r4 started.
[INFO ] 2016-11-08 17:33:45.753 [pool-2-thread-207] ReadWorker - c3r10 started.
[INFO ] 2016-11-08 17:33:45.754 [pool-2-thread-208] ReadWorker - c3r11 started.
[INFO ] 2016-11-08 17:33:45.755 [pool-2-thread-209] ReadWorker - c3r12 started.
[INFO ] 2016-11-08 17:33:45.756 [pool-2-thread-210] ReadWorker - c3r13 started.
[INFO ] 2016-11-08 17:33:45.756 [pool-2-thread-211] ReadWorker - c3r14 started.
[INFO ] 2016-11-08 17:33:45.757 [pool-2-thread-212] ReadWorker - c3r15 started.
[INFO ] 2016-11-08 17:33:45.757 [pool-2-thread-213] ReadWorker - c3r16 started.
